IDSpp,Accepted.family,Accepted.Genus,Species.name,Previous.Species.name,Accepted.author
AMLU,Myrtaceae,Amomyrtus,Amomyrtus luma,,(Molina) D. Legrand & Kausel
AMME,Myrtaceae,Amomyrtus,Amomyrtus meli ,,(Phil.) D. Legrand & Kausel
CAPA,Cunoniaceae,Caldcluvia,Caldcluvia paniculata,,(Cav.) D. Don
CRHO,Elaeocarpaceae,Crinodendron,Crinodendron hookerianum,,Gay
DRWI,Winteraceae,Drimys,Drimys winteri,,J.R. Forst. & G. Forst.
EUCO,Cunoniaceae,Eucryphia,Eucryphia cordifolia,,Cav.
GEAV,Proteaceae,Gevuina,Gevuina avellana,,Molina
LAPH,Monimiaceae,Laureliopsis,Laureliopsis philippiana,,(Looser) Schodde
MYPA,Myrtaceae,Myrceugenia,Myrceugenia parvifolia,,(DC.) Kausel
NONI,Nothofagaceae,Nothofagus,Nothofagus nitida,,(Phil.) Krasser
PONU,Podocarpaceae,Podocarpus,Podocarpus nubigenus,,Lindl.
RALA,Araliaceae,Raukaua,Raukaua laetevirens,Pseudopanax laetevirens,(Gay) Frodin
SACO,Podocarpaceae,Saxegothaea,Saxegothaea conspicua,,Lindl.
TEST,Myrtaceae,Metrosideros,Metrosideros stipularis,Tepualia stipularis,( Hook. y Arn. ) Hook.f.
WETR,Cunoniaceae,Weinmannia,Weinmannia trichosperma,,Cav.
